"# {""gpu"": ""NVIDIA RTX A6000"", ""torch"": ""2.1.0"", ""cuda"": ""11.8"", ""driver"": ""535.129.03"", ""python"": ""3.8.5"", ""tf32_matmul"": false, ""tf32_cudnn"": false, ""compile"": false, ""cfg_w"": 0.5, ""vit_size"": ""large"", ""img_size"": 384}"
"# warmup=1 repeat=4 round-robin, median over 4 runs"
method,refresh_n,step,batch,dtype,gate,total_ms_img,total_iqr_ms_img,vit_ms_img,vit_iqr_ms_img,decode_ms_img,other_ms_img,img_per_s,speedup_total,speedup_vit,theo_speedup,theo_gmacs_img,peak_mb,n
baseline,0,32,1,bfloat16,,1010.5962259694934,5.391763523221016,916.0082397460938,4.578531265258789,37.393409729003906,57.19457649439573,0.9895148767656161,1.0,1.0,1.0,12827.325628416,3487.0478515625,4
layer,2,32,1,bfloat16,0..23,1135.783770121634,9.63335856795311,1040.8864631652832,7.31138801574707,36.78156852722168,58.115738429129124,0.8804492776762495,0.8897787171771843,0.8800270463317958,1.44686204555253,8865.617608704,3487.0478515625,4
baseline,0,32,8,bfloat16,,757.9182684421539,8.173179114237428,688.1435289382935,7.650012969970703,33.27539253234863,36.49934697151184,1.3194034787621989,1.0,1.0,1.0,12827.325628416,5507.41943359375,4
layer,2,32,8,bfloat16,0..23,607.8692022711039,3.668611403554678,537.9901900291443,2.8634138107299805,33.427839279174805,36.45117296278477,1.6450907469301423,1.246844330343503,1.279100514641382,1.44686204555253,8865.617608704,6372.91943359375,4
