"# {""gpu"": ""NVIDIA RTX A6000"", ""torch"": ""2.1.0"", ""cuda"": ""11.8"", ""driver"": ""535.129.03"", ""python"": ""3.8.5"", ""tf32_matmul"": false, ""tf32_cudnn"": false, ""compile"": false, ""cfg_w"": 0.5, ""vit_size"": ""large"", ""img_size"": 384}"
"# warmup=2 repeat=6 round-robin, median over 6 runs"
method,refresh_n,step,batch,dtype,gate,total_ms_img,total_iqr_ms_img,vit_ms_img,vit_iqr_ms_img,decode_ms_img,other_ms_img,img_per_s,speedup_total,speedup_vit,theo_speedup,theo_gmacs_img,peak_mb,n
baseline,0,32,8,bfloat16,0..23,761.6847238969058,0.4151053726673126,691.9490966796875,0.4856281280517578,33.611711502075195,36.123915715143085,1.312879159350648,1.0,1.0,1.0,12827.325628416,5506.5439453125,6
layer,2,32,8,bfloat16,0..23,587.7918407786638,0.05214335396885872,518.0537865161896,0.13603639602661133,33.54860877990723,36.18944548256695,1.7012825470242543,1.2958409271007938,1.3356703776511507,1.44686204555253,8865.617608704,6372.0439453125,6
baseline,0,24,8,bfloat16,0..23,579.5778594911098,0.446234829723835,518.7215967178345,0.12529563903808594,33.52147102355957,27.334791749715805,1.7253937216960562,1.0,1.0,1.0,9620.494221312,5506.2626953125,6
layer,2,24,8,bfloat16,0..23,461.8512660963461,0.3626702819019556,401.0563817024231,0.1826763153076172,33.49145698547363,27.303427408449352,2.165199217601347,1.2549015279092144,1.2933882126895488,1.3910345714236372,6916.07126016,6372.7001953125,6
baseline,0,20,8,bfloat16,0..23,488.54605481028557,0.21511991508305073,432.19812965393066,0.11968612670898438,33.54899215698242,22.798932999372482,2.0468899301383665,1.0,1.0,1.0,8017.07851776,5506.1220703125,6
layer,2,20,8,bfloat16,0..23,386.6512441309169,0.23078848607838154,330.2210359573364,0.052369117736816406,33.629241943359375,22.800966230221093,2.5863100537739596,1.2635315732874455,1.3088146501659252,1.4168958376999299,5658.198933504,6371.6220703125,6
baseline,0,16,8,bfloat16,0..23,397.82469358760864,0.11441158130764961,346.0002489089966,0.22655677795410156,33.57836723327637,18.246077445335686,2.5136700062078496,1.0,1.0,1.0,6413.662814208,5506.9736328125,6
layer,2,16,8,bfloat16,0..23,322.46976951137185,0.08983677253127098,270.7226004600525,0.1794281005859375,33.548667907714844,18.198501143604517,3.101065881354609,1.2336805840448848,1.2780619287825288,1.3739564810833296,4668.024717312,6371.4814453125,6
