"# {""gpu"": ""NVIDIA RTX A6000"", ""torch"": ""2.1.0"", ""cuda"": ""11.8"", ""driver"": ""535.129.03"", ""python"": ""3.8.5"", ""tf32_matmul"": false, ""tf32_cudnn"": false, ""compile"": false, ""cfg_w"": 1.0, ""vit_size"": ""small"", ""img_size"": 384}"
"# warmup=2 repeat=6 round-robin, median over 6 runs"
method,refresh_n,step,batch,dtype,gate,total_ms_img,total_iqr_ms_img,vit_ms_img,vit_iqr_ms_img,decode_ms_img,other_ms_img,img_per_s,speedup_total,speedup_vit,theo_speedup,theo_gmacs_img,peak_mb,n
baseline,0,32,8,bfloat16,0..11,250.081155449152,0.34555583260953426,180.61445355415344,0.1705484390258789,33.5600643157959,35.90663757920265,3.998701934194022,1.0,1.0,1.0,1966.2569472,3545.3310546875,6
layer,1,32,8,bfloat16,0..11,250.05414651241153,0.11363555677235126,180.57168626785278,0.17947149276733398,33.65286636352539,35.82959388103336,3.999133843398852,1.000108012352993,1.0002368438108133,1.0,1966.2569472,3761.7060546875,6
layer,2,32,8,bfloat16,0..11,208.81014864426106,0.3038700670003891,139.59658563137054,0.27775120735168457,33.29164695739746,35.92191605549306,4.789039261226942,1.197648471938987,1.2938314553845738,1.3838230628713521,1420.887539712,3761.7060546875,6
layer,3,32,8,bfloat16,0..11,196.1198755307123,0.16079982742667198,126.91919648647308,0.6452183723449707,33.31046485900879,35.890214185230434,5.098922265241803,1.2751443716370774,1.4230664750024882,1.5704304507954614,1252.049682432,3761.7060546875,6
layer,4,32,8,bfloat16,0..11,190.03647298086435,0.3416035324335098,120.72852981090546,0.5579323768615723,33.2557373046875,36.05220586527139,5.262147756766116,1.3159639911562335,1.4960378780147994,1.6840827248027064,1167.55365888,3761.7060546875,6
layer,5,32,8,bfloat16,0..11,186.53119262307882,0.08186511695384979,117.270228266716,0.1403045654296875,33.29497718811035,35.96598716825247,5.361033647711067,1.3406934890213658,1.5401560670912073,1.7488668308136506,1124.303413248,3761.7060546875,6
layer,6,32,8,bfloat16,0..11,183.833152288571,0.22775400429964066,114.39174008369446,0.1568617820739746,33.32486343383789,36.11654877103865,5.439715239339725,1.3603702723684385,1.5789116716120175,1.8152100092925851,1083.211825152,3761.7060546875,6
layer,0,32,8,bfloat16,0..11,168.18103194236755,0.2533271908760071,98.68804395198822,0.29517507553100586,33.26540756225586,36.227580428123474,5.945973743000227,1.486975983919816,1.8301553696010275,2.2511731425448205,873.4365696,3761.7060546875,6
