"# {""gpu"": ""NVIDIA RTX A6000"", ""torch"": ""2.1.0"", ""cuda"": ""11.8"", ""driver"": ""535.129.03"", ""python"": ""3.8.5"", ""tf32_matmul"": false, ""tf32_cudnn"": false, ""compile"": false, ""cfg_w"": 0.7, ""vit_size"": ""base"", ""img_size"": 384}"
"# warmup=2 repeat=6 round-robin, median over 6 runs"
method,refresh_n,step,batch,dtype,gate,total_ms_img,total_iqr_ms_img,vit_ms_img,vit_iqr_ms_img,decode_ms_img,other_ms_img,img_per_s,speedup_total,speedup_vit,theo_speedup,theo_gmacs_img,peak_mb,n
baseline,0,32,8,bfloat16,0..11,309.0331711573526,0.24126656353473663,239.4460997581482,0.18979310989379883,33.650625228881836,35.9364461703226,3.235898580902899,1.0,1.0,1.0,3995.78038272,3884.1904296875,6
layer,1,32,8,bfloat16,0..11,308.96307819057256,0.10163034312427044,239.4444544315338,0.17058658599853516,33.58880043029785,35.929823328740895,3.236632693642399,1.0002268651878747,1.0000068714333696,1.0,3995.78038272,4209.7060546875,6
layer,2,32,8,bfloat16,0..11,253.77870304509997,0.06333203054964542,184.3497849702835,0.20709490776062012,33.409854888916016,36.01906318590045,3.9404409747585722,1.2177269701880113,1.2988683431160282,1.405019133566211,2843.933073408,4207.7998046875,6
layer,3,32,8,bfloat16,0..11,236.75906553398818,0.6338050588965416,167.41814064979553,0.9092938899993896,33.32339096069336,36.017533923499286,4.223703104016703,1.3052643642614354,1.4302279240994582,1.6064477683291807,2487.339122688,4209.7060546875,6
layer,4,32,8,bfloat16,0..11,228.036736138165,0.17287395894527435,158.7072318792343,0.3463554382324219,33.31032943725586,36.019174821674824,4.385258344489332,1.3551902925417805,1.5087283479328202,1.7306146535113798,2308.87931904,4209.7060546875,6
layer,5,32,8,bfloat16,0..11,223.47941366024315,0.2345563843846321,154.22089970111847,0.3349800109863281,33.29043006896973,35.96808389015496,4.474685088982312,1.3828261229787244,1.5526177076012198,1.8019037436366068,2217.532649472,4209.7060546875,6
layer,6,32,8,bfloat16,0..11,219.59463879466057,0.3840893041342497,150.33056020736694,0.4145169258117676,33.31807899475098,35.94599959254265,4.553845237246817,1.4072892346261905,1.5927972291718644,1.8752971661221296,2130.745171968,4208.7763671875,6
layer,0,32,8,bfloat16,0..11,198.55449604801834,0.35176798701286316,129.12330043315887,0.23948073387145996,33.27430534362793,36.15689027123153,5.0364006854730725,1.556414875050808,1.854398849432278,2.3676041231060445,1687.68940032,4208.7529296875,6
