"# {""gpu"": ""NVIDIA RTX A6000"", ""torch"": ""2.1.0"", ""cuda"": ""11.8"", ""driver"": ""535.129.03"", ""python"": ""3.8.5"", ""tf32_matmul"": false, ""tf32_cudnn"": false, ""compile"": false, ""cfg_w"": 0.5, ""vit_size"": ""large"", ""img_size"": 384}"
"# warmup=2 repeat=6 round-robin, median over 6 runs"
method,refresh_n,step,batch,dtype,gate,total_ms_img,total_iqr_ms_img,vit_ms_img,vit_iqr_ms_img,decode_ms_img,other_ms_img,img_per_s,speedup_total,speedup_vit,theo_speedup,theo_gmacs_img,peak_mb,n
baseline,0,32,8,bfloat16,0..23,762.0702945860103,0.6867982447147369,692.4435663223267,0.8231525421142578,33.60819053649902,36.018537727184594,1.3122149060320525,1.0,1.0,1.0,12827.325628416,5508.0126953125,6
layer,1,32,8,bfloat16,0..23,761.757311061956,0.3694719634950161,692.1815452575684,0.4345569610595703,33.61298751831055,35.96277828607708,1.3127540562832445,1.0004108703907522,1.0003785438467026,1.0,12827.325628416,6372.0439453125,6
layer,2,32,8,bfloat16,0..23,588.099883752875,0.5746169481426477,518.4931535720825,0.36800289154052734,33.49273681640625,36.11399336438626,1.7003914260595385,1.2958177949687186,1.3354922076633766,1.44686204555253,8865.617608704,6372.0439453125,6
layer,3,32,8,bfloat16,0..23,534.1838013846427,0.33743889071047306,464.447331905365,0.3383617401123047,33.594560623168945,36.141908856108785,1.8720148334860178,1.4266068956240707,1.4908979312716082,1.6791595178008047,7639.134633984,6372.0439453125,6
layer,4,32,8,bfloat16,0..23,507.01466703321785,0.8534861262887716,437.237859249115,0.21118974685668945,33.448699951171875,36.32810783293098,1.9723295301326726,1.503053746048893,1.5836770574064332,1.8258672478412765,7025.333108736,6372.0439453125,6
layer,5,32,8,bfloat16,0..23,493.0972469737753,0.8514162618666887,423.2308111190796,0.49536752700805664,33.404544830322266,36.46189102437347,2.0279975322052115,1.5454766767873274,1.6360896894330828,1.9113448642346427,6711.151853568,6372.0439453125,6
layer,6,32,8,bfloat16,0..23,480.20098463166505,0.17894012853503227,410.4480333328247,0.4610581398010254,33.546682357788086,36.20626894105226,2.0824613693098595,1.586981949173951,1.6870432066629906,2.000315362504539,6412.651659264,6372.0439453125,6
layer,0,32,8,bfloat16,0..23,412.92092262301594,0.5912147462368011,343.24272561073303,0.45937442779541016,33.47065544128418,36.20754157099873,2.4217712041512827,1.845559894967485,2.0173583142665565,2.6238249936976348,4888.788566016,6373.3173828125,6
