"# {""gpu"": ""NVIDIA RTX A6000"", ""torch"": ""2.1.0"", ""cuda"": ""11.8"", ""driver"": ""535.129.03"", ""python"": ""3.8.5"", ""tf32_matmul"": false, ""tf32_cudnn"": false, ""compile"": false, ""cfg_w"": 0.5, ""vit_size"": ""large"", ""img_size"": 384}"
"# warmup=1 repeat=4 round-robin, median over 4 runs"
method,refresh_n,step,batch,dtype,gate,total_ms_img,total_iqr_ms_img,vit_ms_img,vit_iqr_ms_img,decode_ms_img,other_ms_img,img_per_s,speedup_total,speedup_vit,theo_speedup,theo_gmacs_img,peak_mb,n
baseline,0,32,1,float32,,2243.974471464753,4.438502714037895,2115.5407333374023,3.6023025512695312,39.44857597351074,88.98516215384007,0.4456378683074993,1.0,1.0,1.0,12827.325628416,3919.7978515625,4
ffn,2,32,1,float32,3..21,2031.1196567490697,13.245293870568275,1902.9143695831299,13.3634033203125,39.33440017700195,88.87088698893785,0.49233928521993664,1.1047967873327416,1.1117372211555965,1.213287948191909,10572.36713472,3919.7978515625,4
attn,2,32,1,float32,3..21,1949.965170584619,6.261561065912247,1821.7674770355225,6.069019317626953,39.46393585205078,88.7337576970458,0.5128296725936854,1.1507766935098576,1.1612572735022821,1.323636443717627,9690.973446144,2837.912109375,4
layer,2,32,1,float32,0..23,1841.8745948001742,6.693756207823753,1713.5193901062012,6.5914306640625,39.387136459350586,88.96806823462248,0.5429251279229954,1.218310126975937,1.2346173294288105,1.44686204555253,8865.617608704,2837.912109375,4
baseline,0,32,8,float32,,2009.6933986060321,9.46485623717308,1907.9290828704834,9.289134979248047,33.6560001373291,68.10831559821963,0.49758833894444904,1.0,1.0,1.0,12827.325628416,6516.20458984375,4
ffn,2,32,8,float32,3..21,1719.0310780424625,2.4308275897055864,1617.4783267974854,2.319629669189453,33.66649627685547,67.88625496812165,0.5817230489740446,1.1690849713401108,1.1795701069133173,1.213287948191909,10572.36713472,6516.20458984375,4
attn,2,32,8,float32,3..21,1582.6279271859676,2.1675170864909887,1481.216625213623,2.178272247314453,33.61414337158203,67.79715860076249,0.6318604536304853,1.2698457825013991,1.2880824117102516,1.323636443717627,9690.973446144,7381.70458984375,4
layer,2,32,8,float32,0..23,1451.9486343488097,3.3589107915759087,1350.5814876556396,3.2206478118896484,33.6234245300293,67.74372216314077,0.6887295985153731,1.3841353275609283,1.4126723195223831,1.44686204555253,8865.617608704,7381.70458984375,4
