"# {""gpu"": ""NVIDIA RTX A6000"", ""torch"": ""2.1.0"", ""cuda"": ""11.8"", ""driver"": ""535.129.03"", ""python"": ""3.8.5"", ""tf32_matmul"": true, ""tf32_cudnn"": true, ""compile"": false, ""cfg_w"": 0.5, ""vit_size"": ""large"", ""img_size"": 384}"
"# warmup=1 repeat=4 round-robin, median over 4 runs"
method,refresh_n,step,batch,dtype,gate,total_ms_img,total_iqr_ms_img,vit_ms_img,vit_iqr_ms_img,decode_ms_img,other_ms_img,img_per_s,speedup_total,speedup_vit,theo_speedup,theo_gmacs_img,peak_mb,n
baseline,0,32,8,float32,,1137.4082339461893,9.716102853417397,1043.942777633667,9.544200897216797,25.76377582550049,67.7016804870218,0.8791918065605545,1.0,1.0,1.0,12827.325628416,6515.89208984375,4
ffn,2,32,8,float32,3..21,1014.0968845225871,16.741509549319744,920.5913944244385,16.6962947845459,25.79257583618164,67.71291426196694,0.9860990752089496,1.1215972076293819,1.1339914580521893,1.213287948191909,10572.36713472,6515.89208984375,4
attn,2,32,8,float32,3..21,908.7861691368744,11.55176991596818,815.1871566772461,11.75553035736084,25.70419216156006,67.89482029806823,1.1003688589910612,1.2515686005944062,1.280617302520863,1.323636443717627,9690.973446144,7381.39208984375,4
layer,2,32,8,float32,0..23,829.6777599025518,8.809423074126244,735.9715013504028,8.23950481414795,25.73196792602539,67.97429062612355,1.205287219121618,1.370903607299033,1.4184554370898612,1.44686204555253,8865.617608704,7381.39208984375,4
