"# {""gpu"": ""NVIDIA RTX A6000"", ""torch"": ""2.1.0"", ""cuda"": ""11.8"", ""driver"": ""535.129.03"", ""python"": ""3.8.5"", ""tf32_matmul"": false, ""tf32_cudnn"": false, ""compile"": false, ""cfg_w"": 0.5, ""vit_size"": ""large"", ""img_size"": 384}"
"# warmup=2 repeat=8 round-robin, median over 8 runs"
method,refresh_n,step,batch,dtype,gate,total_ms_img,total_iqr_ms_img,vit_ms_img,vit_iqr_ms_img,decode_ms_img,other_ms_img,img_per_s,speedup_total,speedup_vit,theo_speedup,theo_gmacs_img,peak_mb,n
baseline,0,32,8,bfloat16,,761.5562722785398,1.1595487594604492,691.5738697052002,0.8393077850341797,33.616254806518555,36.366147766821086,1.3131006025438514,1.0,1.0,1.0,12827.325628416,5506.5439453125,8
ffn,2,32,8,bfloat16,3..21,681.1609156429768,0.7607478182762861,611.320930480957,0.5593061447143555,33.547447204589844,36.292537957429886,1.46808188349453,1.118026966593752,1.1312779183940327,1.213287948191909,10572.36713472,5506.5439453125,8
attn,2,32,8,bfloat16,3..21,640.1421786285937,1.0961838997900486,570.0038046836853,0.8130083084106445,33.582847595214844,36.55552634969354,1.5621529613036067,1.1896673859392568,1.2132793922120892,1.323636443717627,9690.973446144,5940.2939453125,8
layer,2,32,8,bfloat16,0..23,587.540409876965,0.4157843068242073,517.8033049106598,0.4892306327819824,33.54707908630371,36.190025880001485,1.702010590572667,1.2961768407351164,1.3355918418182406,1.44686204555253,8865.617608704,6372.0439453125,8
layer_clone,2,32,8,bfloat16,0..23,591.9556281296536,0.5994003731757402,522.2720556259155,0.5113706588745117,33.56768035888672,36.11589214485139,1.6893158076047112,1.286509049140655,1.3241640295619213,1.44686204555253,8865.617608704,6373.0439453125,8
